# 白名单：不参与测速，直接注入结果并保留在最前。格式：频道名,地址
# 由助手生成(三网合并 + 91看电视 + 午夜剧场)

# ===== 📺央视频道(三网合并,不测速) =====
CCTV-1,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000311/index.m3u8
CCTV-1,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000001/index.m3u8
CCTV-1,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00000311/index.m3u8
CCTV-1,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00000001/index.m3u8
CCTV-1,http://150.138.8.143/00/SNM/CHANNEL00000311/index.m3u8
CCTV-1,http://39.89.160.82:5140/CCTV1?cors
CCTV-1,http://222.173.9.81/00/SNM/CHANNEL00000311/index.m3u8
CCTV-1,http://utuxx.91kds.cn/live1/jsbv2a.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1,http://utuxx.91kds.cn/live1/zbdq7.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1,http://utuxx.91kds.cn/live1/zbdq6.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1,http://utuxx.91kds.cn/live1/zbdq5.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1,http://utuxx.91kds.cn/live1/zbdq4.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1,http://utuxx.91kds.cn/live1/zbdq3.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1,http://utuxx.91kds.cn/live1/zbdq2.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1,http://utuxx.91kds.cn/live1/zbdq1.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1,http://utuxx.91kds.cn/live1/jsbv1.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1,http://utuxx.91kds.cn/live1/dsdq.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1,http://play.kankanlive.com/live/1720408280309109.m3u8
CCTV-1,rtmp://play.kankanlive.com/live/1720408280309109
CCTV-1,http://gbds.chiznews.com:8037/live/wjsh.m3u8
CCTV-1,http://utuxx.91kds.cn/live1/hnyitv.m3u8?id=hnyitv3&pwd=jsdecode
CCTV-1,http://gbds.chiznews.com:8037/live/wjsh.flv
CCTV-1,http://utuxx.91kds.cn/live1/cctvxw.m3u8?bt=2&id=cctv1hd&pwd=jsdecode
CCTV-1,http://swtyc.f3322.org:8880/udp/239.253.157.96:8550
CCTV-1,http://183.222.206.14:18097/udp/239.93.0.184:5140
CCTV-1,http://183.222.206.14:8096/udp/239.93.0.184:5140
CCTV-1,http://hhska.3322.org:8096/udp/239.93.0.184:5140
CCTV-1,http://ksjgj.cn:8888/udp/239.49.8.61:9346
CCTV-1,http://222.173.9.81/00/SNM/CHANNEL00000001/index.m3u8
CCTV-1,http://utuxx.91kds.cn/live1/xuexi.m3u8?id=cctv1&pwd=jsdecode
CCTV-1,http://utuxx.91kds.cn/live1/xuexi1.m3u8?id=cctv1&pwd=jsdecode
CCTV-1,http://utuxx.91kds.cn/live2/sxy.m3u8?id=cctv1&pwd=jsdecode
CCTV-1,rtmp://play.kankanlive.com/live/1698234869325962
CCTV-1,http://utuxx.91kds.cn/live1/cctvxw.m3u8?bt=0&id=cctv1hd&pwd=jsdecode
CCTV-1,http://utuxx.91kds.cn/live1/cctvxw.m3u8?bt=1&id=cctv1hd&pwd=jsdecode
CCTV-1,http://www.qfly9236.cn:8888/udp/239.253.92.1:8101
CCTV-1,http://ksjgj.cn:8888/udp/239.49.0.1:8000
CCTV-2,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000317/index.m3u8
CCTV-2,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000002/index.m3u8
CCTV-2,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00000317/index.m3u8
